iteration 	IOU(%)		map(%)	
1000		11.66		1.17
2000		34.37		14.79		
3000		26.07		17.25
4000		20.84		17.16
5000		24.37		14.46
6000		33.07		15.35
7000		26.88		14.28
8000		28.23		16.14
9000		27.41		16.53
10000		25.28		13.07
11000		26.05		14.98
12000		29.43		14.96
13000		18.39		9.15
14000		22.95		14.35
15000		23.96		11.81
16000		22.88		11.46	
17000		27.64		27.64
18000		20.56		10.73
19000		24.51		15.24
20000		21.31		11.12
21000		14.89		10.68
22000		23.98		14.50
23000		26.71		13.36
24000		9.12		4.92
25000		14.89		8.10
26000		27.08		15.21
27000		19.29		11.49
28000		14.79		10.75
29000		17.96		8.97
30000		11.64		5.81
31000		26.70		13.18
32000		24.53		13.45
33000		26.31		13.04
34000		25.31		14.06
35000		15.06		9.07
36000		27.72		17.86
37000		24.39		13.80
38000		29.79		17.38
39000		27.47		15.11
40000		25.38		12.92
41000		26.49		14.05
42000		29.02		15.79
43000		27.38		14.50
44000		15.84		8.85
45000		27.12		14.38
46000		28.84		14.23
47000		21.70		10.44
48000		10.53		6.03
49000		22.47		12.81
50000		26.19		13.31
51000		21.14		11.94		
52000		14.00		8.30
53000		19.05		10.20
54000		23.33		12.15 
55000		17.20		8.58
56000		18.04		8.97
57000		27.84		12.80
58000		27.94		14.02
59000		24.15		12.96
60000		21.67		11.01
61000		27.26		12.85
62000		28.79		12.89
63000		28.96		13.71
64000		19.69		10.11
65000		28.18		13.08
66000		30.09		14.92
67000		28.29		13.49
68000		29.41		13.24
69000		23.52		11.59
70000		29.50		14.30
71000		27.34		14.27
72000		31.06		14.90
73000		25.40		12.52
74000		19.34		10.43
75000		29.25		13.61
76000		30.30		14.30
77000		15.93		8.49
78000		30.10		13.59
79000		27.24		12.31
80000		24.86		12.26
